NomDuGroupe	Restaurant	Note	Prix	Cuisine	Service	Ambiance	Avis	URL
Lacene	"""""""L'institut restaurant-Lyon"""""""	4.0	NE	Positive	NE	Positive	"""""""On a eu beaucoup de plaisir à déguster des mets magnifiquement préparés dans une ambiance calme et sereine."""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r917254798-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	4.0	NE	Positive	Négative	Positive	Restaurant nettement mieux qu auparavant , très bon , convivial , seul point Négative :un peu rapide dans la prise de commande	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r555644555-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Bouhjoura_Feydel	Les Jardins de Sainte-Cécile - Grenoble	5.0	NE	Positive	NE	Positive	Nous avons eu la chance de déjeuner en terrasse Très bon viognier suivi d’un saumon gravlax tranche de champignons Magret excellent Dessert incroyable une coupe provençale salade de fruits rouges aux olives	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2284818-r670998763-Les_Jardins_de_Sainte_Cecile-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	5.0	NE	Positive	Positive	NE	Service d'excellente qualité : l'équipe est formidable ! Nous mangeons et buvons très bien. Accueil inégalable !	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r796138384-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Decoopman_Flin	Chalet la Pricaz - Montmin	4.0	NE	NE	Neutre	NE	Nous avions réservé heureusement car c'était plein! La serveuse semblait un peu débordée on a du interpellé pour qu'elle prenne notre commande mais tout c'est bien passé.  Le lieu est magique, une vue a couper le souffle puis ensuite apres le repas nous sommes montés a pied pour voir le coucher de soleil et le decollage des parapentes.	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r761230192-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	NE	Positive	Positive	NE	Service agréable, efficace. Plats succulents. Un repas parfait ! Ravioles à divers parfums et bien sûr du gratin dauphinois pour accompagner les viandes. Y aller sans hésiter.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r595867176-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	Positive	Positive	Neutre	Positive	Assiettes copieuses et  très bon goût. Acceuil normal, service rapide! Ambiance chaleureuse. Carte variée. Tout est fait maison ( sauf le pain, mais ce n'est pas les plus important, car même le pain est très bon ! )	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r862365134-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Genevey_Pernier	La Belle Idée - Grenoble	5.0	Positive	Positive	Positive	NE	Nous avons été reçu et servis comme des rois ! Un serveur agréable et au petit soins pour ses clients.Quand au repas que dire à part parfait !!! Le gratin de ravioles est vraiment divin et le dessert tarte tatin renversant ! Pour un prix plus que raisonnable , nous reviendrons sans hésitez !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r554050099-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Hardwick_Micha	Les Terrasses de Lyon - Lyon	5.0	Positive	Positive	Positive	NE	Lorsque vous regardez le nom, vous vous attendez à un coup de bambou (prix).Pas du tout.Le personnel est à vos petits soins.Vous mangez avec délice.N'hésitez pas, allez y, vous ne serez pas déçus.	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r728989950-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Lahbabi	Le Gurtlerhoft - Strasbourg	3.0	NE	NE	Négative	NE	Des desserts  supprimés non Dit quand prise  de commande Déçu😞 Trop à la chaîne pressé pour avoir une table libre...	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-or135-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	Positive	Positive	Positive	Positive	Repas très bon mais vraiment copieux ! Les salades repas sont vraiment consistantes en plus servies avec du gratin dauphinois, cela constitue parfaitement un gros repas ! Ambiance et service vraiment agreables, et petit plus pour la proposition de doggy bag pour emporter le restant de son assiette !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r611379112-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	NE	Positive	Positive	NE	"""Simple, efficace... """"Le Gratin Dauphinois"""" remplis toutes les cases du restaurant typiquement dauphinois. En plus, personnel hyper sympa'."""	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r927042796-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	Positive	Positive	Positive	NE	Simple, bon et copieux. Tarif très correct. Produits frais, cuisine savoureuse. Service ok, rapidement servi. Je recommande fortement.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r945315378-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	5.0	Neutre	Positive	Positive	Positive	Superbes saveurs dans les différents plats dégustés.  Très jolie terrasse, très agréable pour le diner.  Personnel accueillant et professionnel. Menu attractif mais un peu élevé sur certains plats à  la carte.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r966744048-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	2.0	Négative	Négative	Négative	NE	"""Aucun choix le soirs à part une formule à 20€ comportant une salade de noix (10 feuilles avec 3 noix), un Faux-Filet d'à peine 180g, la sauce avec est franchement pas ouf, les frites sont à volonté mais rien d'exceptionnel aussi (malgré qu'elle soit maison), et alors la serveuse du Vendredi 26 Novembre à l'étage, une catastrophe ça façon de parler, l'air blasé, quand on lui demande de quoi est composé l'assortiment de Fromage elle répond aussi sec """"Bah de Fromage"""" et tourne les talons. Bref FUYEZ il y a de bien meilleur restau de viande sur Lyon (Google est votre ami et ne vous proposera pas tout de suite L'entrecôte comme enseigne)."""	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or105-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	5.0	NE	Positive	Positive	NE	Juste magnifique , aussi bien le service tout le monde aux petits soins que les plats gustativement mais aussi extrêmement bien présentés... Je referai les yeux fermés !	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r969103379-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Oualla_Saoudi	Une Semaine sur Deux - Grenoble	4.0	NE	Positive	Positive	Négative	Deuxième fois que je reviens ici:La carte n’a pas changé mais les produits restent bons et frais.Service rapide et agréable dans l’ensemble.Salle en revanche très bruyante et tables très rapprochées, ce qui est surprenant en cette période de Covid …	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r802922422-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Chaussemy_Zergua	Les Grands Buffets - Narbonne	3.0	NE	Neutre	Positive	Positive	A voir au moins une fois,plusieurs salles de restaurants parfaitement agencées, avec une décoration différente. Accueil chaleureux, personnel très agréable et professionnel.  Le choix des plats est immense, la difficulté est de faire son choix, foie gras préparé de différentes façons, jambon cru  aux intensités subtiles,  Le homard a l'américaine pêche par son manque de saveur, la rôtisserie vous propose une multitude de viande ou plat en sauce , à vous de voir si cela vous convient. Le rayon fromage est une très bonne découverte,vous aurez l'occasion de réveiller vos papilles avec des variétés qui vous seront inconnus.  Les desserts sont une farandole de plaisir,il y en a pour tout les goûts.  En conclusion,une agréable parenthèse, malgré quelques déceptions sur certains plats. Mais soyons indulgents ,ces quelques  imperfections sont perfectibles dans le temps.	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r972909316-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
Hardwick_Micha	Les Terrasses de Lyon - Lyon	5.0	Positive	Positive	Positive	NE	Un accueil chaleureux, un menu express de qualité, des plats revisites dans la modernité en gardant le goût.. Et service attentionné. Valeur sûre pour un moment exceptionnel	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r520256457-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Lacene	"""""""L'institut restaurant-Lyon"""""""	2.0	NE	Négative	Négative	Négative	"""""""Endroit bruyant, tables très près des autres, conversations limitées car bloquées par celles des tables voisines. Plats décevants et attente longue entre eux."""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r934552377-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Feron_Mecheloukh	Le Marrakech - Annecy	1.0	NE	Négative	Positive	Positive	Mis à part les serveurs et le cadre il n y'a rien de marocain ni de savoureux à cette adresse !!! Passez votre chemin, c est mieux !	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or240-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Decoopman_Flin	Chalet la Pricaz - Montmin	5.0	NE	Positive	Positive	NE	Que demander de plus ! Quelle vue magnifique pour un repas ! Equipe très sympa, plats typiques régionnaux tres bons. Nous avons passé un agréable moment, et de plus le repas s'est fini sur un coucher de soleil sur le lac d'Annecy ! Ravis !	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r762332760-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Lacene	"""""""L'institut restaurant-Lyon"""""""	5.0	NE	Positive	Positive	Neutre	"""""""C'est toujours tres agreable d'etre servi par des etudiantes qui apprennent. Souriantes, acceuillantes, experience tres agreable Pour notre anniversaire ils ont fait une petite surprise en cuisine, tres jolie Niveau plats, toujours delicieux et belle presentation petit detail: pour les tables de 2 au milieu, il manque peut etre un peu d'espace pour les clients et les serveurs"""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r921061291-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	NE	Positive	Positive	NE	Une tuerie ! Je n’ai que ce mot là en tête pour décrire cette cuisine... de passage à Grenoble on m’a conseillé vivement les ravioles de Grenoble ! Eh bien je comprends pourquoi ! Très bon resto que je recommande, et personnels très sympa ! Je recommande sans hésitation ! Par contre réservez, c souvent complet !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r746540930-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	1.0	NE	Neutre	Négative	Négative	Extrêmement décevant,pour commencer une serveuse qui ne souri pas, brusque pour poursuivre un Monaco horrible, il faut admettre que la viande était excellente et les frites très bonne au moin les cuisiniers savent faire leurs travail Je déconseille rien que pour l'accueil et l'ambiance !	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or210-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	3.0	NE	Négative	Négative	NE	La traditionnelle entrecôte maison Les frites ne sont pas les mêmes que habituellement c'est dommage. Moins de viande aussi Plus d'attente à table en ce 27 décembre, moins de personnel.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or60-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Campiglia_Sigrist	Brasserie Georges - Lyon	3.0	NE	Négative	NE	Positive	Nous sommes allés plusieurs fois dans votre établissement avec plaisir Mais nous constatons ces derniers temps une baisse nette des quantités. Ce début août pour un aïoli: 1 carotte,1 petite pomme de terre ,3 bulots (certains vides),1 bout de poisson , 2 petits légumes.  Dommage votre ambiance ne fait pas tout et votre réputation auprès de la clientèle fidèle  et de passage risque de baisser	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or45-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	5.0	NE	Positive	Positive	NE	Très bonne adresse, nous avons passé un bon moment entre amis. Le service était parfait et la cuisine subtile et délicieuse. Nous reviendrons avec plaisir.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r976785917-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Oualla_Saoudi	Une Semaine sur Deux - Grenoble	4.0	NE	Positive	Positive	Positive	Le plaisir commence dès la porte d'entrée ! Un accueil chaleureux et une attention portée aux détails. La carte est originale et de bons goûts. À refaire très vite !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r650083840-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Chateau de la commanderie - Grenoble"""""""	3.0	NE	Négative	Négative	NE	"""""""Nous avions un bon cadeau avec 2 menus tradition. On nous dit qu il n est servi que le soir ! La personne qui sert le vin est trop décalé pour ce genre de restaurant et très limite au niveau politesse ! On est chez guignol ? On s est retrouvé avec des plats de qualité inférieure ! Le spa qui a suivi est très viellot et il y faisait beaucoup trop chaud !"""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r849253235-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
Chaussemy_Zergua	Les Grands Buffets - Narbonne	5.0	NE	Positive	Positive	Positive	Un excellent moment de convivialité,la qualité des plats ainsi que leur nombre laisse rêveur tout bon mangeur qui se respecte.nous étions au salon max verrier , ou notre hôte Bruno fut charmant et distingué et de très bon conseil tout au long de notre repas .	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r969672534-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
DiMalta_Fauchon	Shunbun - Grenoble	4.0	Négative	Positive	NE	NE	De très bons sushis ...Par contre je trouve les prix un peu élevés qd on prend à la carte...Et on regrette un manque d'explication écrite et de détails sur la carte , on ne sait pas à quoi correspondent les plats ou spécialités ...	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r459248393-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Campiglia_Sigrist	Brasserie Georges - Lyon	4.0	NE	Positive	Positive	Positive	Endroit emblématique de Lyon et je suis toujours satisfaite. une ambiance particulière des brasseries, c'est très chaleureux. De la bonne cuisine française comme on aime. Le personnel est vraiment dévoué et sympa, un vrai bonheur. Je suis arrivée à l'ouverture de midi et rapidement servie. En repartant vers 13H30 il y avait 25 personnes qui attendaient de la place, cétait complet, alors prévoyez ! Comme une majorité de gens je vous recommande cet endroit, MERCI LA GEORGES !	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Katz_Dartois	La Fondue - Grenoble	4.0	Négative	Positive	Positive	NE	Nous avons apprécié la fondue aux cèpes. Les prix sont effectivement pas donnés mais la quantité est au RDV. Service très bien.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r545211428-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Lahbabi	Le Gurtlerhoft - Strasbourg	5.0	NE	Positive	Positive	Positive	Bel accueil très dans un somptueux restaurant troglo situé aux pieds de la cathédrale. On est tout d'abord èpoustouflés par la déco magnifique de cet ancien caveau vouté du Xème siècle..    Service très rapide mais attentif. Choucroute d'exception. Nous avons pris un kouglof glacé en dessert, excellent... Tout est parfait dans ce restaurant. Beaucoup de monde, mais malgrè cela la configuration  fait qu'on n'est pas trop gênés par le bruit.... Les serveurs sont très sympathiques et attentionnés, ce qui mérite d'être souligné dans un lieu aussi touristique... Réservation vivement conseillée....	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-or15-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
Meftah_Bourass	"""""""Chateau de la commanderie - Grenoble"""""""	5.0	NE	Positive	Positive	Positive	"""""""restaurant dans un très beau cadre ( belle demeure dans un très beau parc) accueil très sympathique et service de qualité note particulière pour le patron , très fin sommelier très bonne cuisine très bonne cave"""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r775569367-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
Macé_Mutamu	Les Terrasses Poulard - Le Mont-Saint-Michel	3.0	Négative	NE	Négative	Négative	nous étions déja venus l'année derniére dans ce restaurant qui a la plus belle vue sur la baie du mont st michel nous avons eu la chance d'etre placer à une table prés des fenetres pour admirer la vue , la carte des boissons est assez chéres en moyenne 5 € pour un sirop à l'eau ou un coca , les menus sont un bon rapport qualité prix , le point négatif est le survol des oiseaux dans le restaurant , nous avons la peur au dessus de la tête de recevoir un excrément .... de plus au moment de l'addition je souhaite régler en ticket restaurant on m'informe que c 'est à hauteur de 19 € par table , je pense que ce n'est pas réglementaire ...	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r544947907-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
Espinal_Lu	La Ferme à Dédé - Grenoble	5.0	NE	Positive	NE	NE	Un endroit incontournable à Grenoble! Et vraiment c est délicieux! Les spécialités de la région et plus encore: un régal !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r758864866-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Chaussemy_Zergua	Les Grands Buffets - Narbonne	4.0	NE	Positive	NE	NE	Promesses tenues , les plats dégustés étaient à la hauteur de nos attentes  Libre choix aux papilles. Merci à Myriam et Pauline de leurs compétences, professionnalisme et leur amabilité.	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r972955409-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
Berger_Selvaradjou	Le Bombay	5.0	NE	Positive	Positive	Positive	Super soirée. Accueil et ambiance superrrrr. Les tables ne sont pas trop collées les unes aux autres et spacieuses surtout. On a été servi rapidement avec toutes les explications des plats. Venir au resto avec un petit,on ne sait jamais s’il va etre servi avant ou après nous... Eh bien là,à peine avoir commander pour lui...déjà servi Les serveurs sont polis. La nourriture  au TOP !!! On reviendra sans faute	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r745187922-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Campiglia_Sigrist	Brasserie Georges - Lyon	5.0	Positive	Positive	Positive	NE	Affluence même en semaine mais le système de réservation sur place des tables via un bipeur est efficace et l'attente reste raisonnable. Ensuite, le service est super efficace malgré le monde, et bien que la cadence soit élevée, les serveurs prennent le temps de discuter et plaisanter. Le choix est vaste et la qualité est là, pour un prix qui reste correct. L'ambiance est dans son jus et vraiment typique des brasseries de la fin 19ème / début 20ème siècle. Bref, à ne pas manquer lors d'une escale lyonnaise !	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or225-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Chateau de la commanderie - Grenoble"""""""	1.0	Négative	Négative	Négative	Négative	"""""""les plats sont certes bien présentés et encore ça dépend des gouts. Par contre il faut bien se dire que la qualité gustative est mauvaise. Le vin n'est pas si bon. Dans l'ensemble nous sommes très déçu. A noter, le sommelier fait le radin avec le fromage, que dire de plus... Concernant le spa, toiles d'araignée, vitre cassée, poils abondants dans la douche, hygiène à revoir. Nous avons été très déçus aussi. Le rapport qualité prix est minable, pour un menu à 12 euros dans un authentique restaurant landais j'ai mangé beaucoup mais beaucoup mieux."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r98912915-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
Feron_Mecheloukh	Le Marrakech - Annecy	1.0	NE	NE	Neutre	NE	"""Après un accueil plutôt agréable bien que critiquant totalement ses concurrents, nous furent surpris d'apprendre qu'il nous était impossible de demander une carafe d'eau (sous prétexte que cela ne rapportait pas suffisamment). Alors comment expliquer la réponse du serveur lorsque nous faisions la réflexion qu'il avait """"oublié"""" l'agneau dans le couscous royal alors que celui ci etait a la carte (""""fallait demander s'il y en avait bien dedans"""" alors que c'était marqué sur la carte) Bref je ne recommande absolument pas."""	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or135-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	2.0	Négative	Négative	NE	NE	Aïe aïe aïe ! Que dire ? Apéros tiède, plats manquants de fraicheur (Poké Bowl > beurk !! - salade de fruits  piquante  renvoyée en cuisine...), et note très très salée... N y allez pas !	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r917476284-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Berger_Selvaradjou	Le Bombay	4.0	NE	Positive	Positive	NE	La cuisine est extra et faite par des personnes la connaissant  Il faut aimer les épices, ce qui était notre cas. Le personnel est sympathique  Très bon restaurant	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r710634669-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Berger_Selvaradjou	Le Bombay	5.0	NE	Positive	Positive	Positive	Ce restaurant m' a été conseillé et je n'ai pas été déçu, l' accueil est courtois, le service rapide et les plats sont généreux, gourmands. Le décor est cosy et exotique. Je vous conseille de choisir différents plats si vous êtes plusieurs afin de découvrir leur cuisine, riche en saveur. Le plat que j'ai vraiment apprécié c'est le Jingha Pakora (Beignets de gambas entières à la farine de pois chiche, au cumin, coriandre et fenugrec )	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r562883801-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	4.0	NE	Positive	Positive	Neutre	Accueil Chaleureux, personnel serviable et compétent, excellent repas, petit bémol salle très bruyante !  Je recommande !	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r965643796-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
DiMalta_Fauchon	Shunbun - Grenoble	1.0	NE	NE	Négative	NE	"""Surtout lorsque le garçon vous asperge littéralement de sauce aigre douce un samedi soir ... sans vraiment être affligé alors que j'étais habillée pour aller ensuite à une soirée et qu'allant payer à la caisse je me suis retrouvée en face d'une caissière hilare  à qui j'ai raconté la mésaventure alors qu'elle m'avait posé la question """"tout c'est bien passé ?""""... et surtout SANS aucun geste commercial de sa part !  JE NE METTRAI JAMAIS PLUS LES PIEDS DANS CE BOUGE ET CROYEZ MOI J'EN FAIS LA PUB !"""	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r391846358-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
